City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Saint-Denis,FR,2020-09-29 23:01:26,48.92,2.33,62.01,93,90,4.54
212,Cidreira,BR,2020-09-29 22:52:55,-30.18,-50.21,63.12,83,56,19.15
213,Cairns,AU,2020-09-29 22:54:11,-16.92,145.77,79.0,61,90,9.17
214,Cayenne,GF,2020-09-29 22:53:56,4.93,-52.33,82.4,78,69,3.36
215,Grand-Santi,GF,2020-09-29 23:01:26,4.25,-54.38,80.55,53,30,3.74
216,Vila Franca Do Campo,PT,2020-09-29 22:55:45,37.72,-25.43,66.2,72,20,11.41
217,Benton Harbor,US,2020-09-29 23:01:27,42.12,-86.45,60.8,55,90,10.29
218,Yar-Sale,RU,2020-09-29 22:54:10,66.83,70.83,40.59,80,99,5.26
219,Lahat,ID,2020-09-29 23:01:27,-3.8,103.53,70.32,83,99,2.46
220,Walvis Bay,NA,2020-09-29 22:54:15,-22.96,14.51,53.01,87,0,8.05
221,La Huacana,MX,2020-09-29 23:01:27,18.97,-101.82,66.2,93,90,0.67
222,Martin,US,2020-09-29 23:01:27,27.08,-80.42,87.8,62,75,13.87
223,Ambon,ID,2020-09-29 23:01:28,-3.7,128.18,75.2,94,20,4.7
224,Ulmu,RO,2020-09-29 23:01:28,44.95,27.32,59.67,67,55,7.09
225,Moron,AR,2020-09-29 22:57:32,-34.65,-58.62,71.6,37,0,8.05
226,Avera,US,2020-09-29 22:53:05,33.19,-82.53,61.0,100,40,8.05
227,Yanam,IN,2020-09-29 23:00:44,16.73,82.22,77.23,89,95,2.42
228,Darlowo,PL,2020-09-29 23:01:28,54.42,16.41,55.0,90,17,5.1
229,Saint Andrews,US,2020-09-29 23:01:28,34.05,-81.13,68.0,93,90,6.93
230,Zakamensk,RU,2020-09-29 23:01:28,50.37,103.29,30.18,94,77,2.15
231,Znamenskoye,RU,2020-09-29 23:01:29,57.13,73.83,34.72,88,56,4.99
232,Fagernes,NO,2020-09-29 23:01:29,60.99,9.23,42.01,95,100,5.55
233,Lasa,IT,2020-09-29 22:56:12,46.62,10.7,46.4,87,5,6.93
234,Vao,NC,2020-09-29 22:53:46,-22.67,167.48,67.35,74,0,22.39
235,Zyryanka,RU,2020-09-29 22:55:40,65.75,150.85,46.45,80,99,8.32
236,Hay River,CA,2020-09-29 23:01:29,60.82,-115.8,50.0,71,75,21.92
237,Ponta Delgada,PT,2020-09-29 23:01:30,37.73,-25.67,66.2,72,20,11.41
238,Dogbo,BJ,2020-09-29 23:01:30,6.82,1.78,73.2,94,68,2.89
239,Solnechnyy,RU,2020-09-29 22:58:53,50.72,136.63,45.45,79,64,3.76
240,Stony Plain,CA,2020-09-29 23:01:30,53.53,-114.0,61.0,26,1,19.46
241,Praia,CV,2020-09-29 23:00:04,14.92,-23.51,78.8,78,40,12.75
242,Roros,NO,2020-09-29 23:01:30,62.57,11.38,51.8,93,98,5.82
243,Mpwapwa,TZ,2020-09-29 23:01:31,-6.35,36.48,63.46,90,85,3.96
244,Vermillion,US,2020-09-29 23:01:31,42.78,-96.93,78.8,26,20,20.8
245,Tobolsk,RU,2020-09-29 23:01:31,58.2,68.27,38.35,79,68,7.34
246,Guaruja,BR,2020-09-29 23:01:16,-23.99,-46.26,73.0,54,98,10.76
247,Coquimbo,CL,2020-09-29 22:53:15,-29.95,-71.34,57.2,62,1,12.75
248,Buala,SB,2020-09-29 22:56:10,-8.14,159.59,84.15,67,54,5.03
249,Sinnamary,GF,2020-09-29 22:56:38,5.38,-52.95,80.1,82,51,7.43
250,Nantucket,US,2020-09-29 22:57:15,41.28,-70.1,68.0,94,40,5.82
251,Springbok,ZA,2020-09-29 22:55:26,-29.66,17.89,48.88,45,0,6.78
252,Shirvan,AZ,2020-09-29 23:01:32,39.95,48.9,61.97,63,4,7.58
253,Orlik,RU,2020-09-29 22:55:13,52.52,99.83,32.05,94,100,0.89
254,Kamphaeng Phet,TH,2020-09-29 22:59:30,16.48,99.52,74.66,94,97,0.92
255,Ostrovnoy,RU,2020-09-29 23:01:32,68.05,39.51,46.67,79,0,18.99
256,Arona,ES,2020-09-29 23:01:32,28.1,-16.68,75.0,64,40,17.22
257,Tuatapere,NZ,2020-09-29 23:01:00,-46.13,167.68,46.0,93,87,8.01
258,Ocos,GT,2020-09-29 23:01:33,14.51,-92.19,87.8,70,75,9.17
259,Veinticinco De Mayo,AR,2020-09-29 23:01:33,-35.43,-60.17,55.99,56,0,8.99
260,Russell,US,2020-09-29 22:53:05,32.35,-85.2,63.0,88,40,5.82
261,Svetlaya,RU,2020-09-29 23:01:09,46.54,138.33,55.67,59,5,6.06
262,Arraial Do Cabo,BR,2020-09-29 22:53:29,-22.97,-42.03,75.2,88,40,8.05
263,Krasnoselkup,RU,2020-09-29 22:59:23,65.7,82.47,35.89,83,100,6.87
264,Sechura,PE,2020-09-29 23:01:33,-5.56,-80.82,68.07,66,7,17.18
265,Berezovyy,RU,2020-09-29 22:55:51,51.67,135.7,46.13,65,57,2.57
266,Olean,US,2020-09-29 23:01:34,42.08,-78.43,53.01,100,90,3.36
267,Saint-Joseph,RE,2020-09-29 23:01:34,-21.37,55.62,69.8,73,20,6.93
268,Contai,IN,2020-09-29 23:01:34,21.78,87.75,82.09,85,100,5.41
269,Tocopilla,CL,2020-09-29 23:01:34,-22.09,-70.2,63.91,60,21,10.83
270,Constitucion,CL,2020-09-29 22:57:03,-35.33,-72.42,51.4,82,96,14.12
271,Tura,IN,2020-09-29 22:54:10,25.52,90.22,73.44,88,62,2.73
272,New Iberia,US,2020-09-29 22:58:26,30.0,-91.82,77.0,38,1,16.11
273,Grand Gaube,MU,2020-09-29 22:55:01,-20.01,57.66,71.01,83,93,4.0
274,Vilhena,BR,2020-09-29 22:51:39,-12.74,-60.15,75.2,78,75,3.36
275,Puri,IN,2020-09-29 23:01:19,19.8,85.85,80.6,94,90,6.93
276,Pontianak,ID,2020-09-29 23:01:35,-0.03,109.33,74.93,91,100,3.02
277,Cosala,MX,2020-09-29 23:01:35,24.41,-106.69,93.0,73,0,8.01
278,Fallon,US,2020-09-29 23:01:35,39.47,-118.78,82.4,12,40,3.36
279,Pacific Grove,US,2020-09-29 22:52:30,36.62,-121.92,75.0,91,7,5.99
280,Sosnovo-Ozerskoye,RU,2020-09-29 22:58:42,52.52,111.54,35.37,89,80,4.43
281,Gadwal,IN,2020-09-29 23:01:36,16.23,77.8,74.37,87,100,4.07
282,The Valley,AI,2020-09-29 22:55:46,18.22,-63.06,84.2,74,20,16.11
283,Buraydah,SA,2020-09-29 22:56:06,26.33,43.98,75.2,31,0,4.7
284,Porbandar,IN,2020-09-29 22:55:53,21.64,69.61,79.86,74,0,8.79
285,Nelidovo,RU,2020-09-29 23:01:36,56.22,32.78,51.87,73,97,5.46
286,Chanal,MX,2020-09-29 23:01:37,16.72,-92.4,78.8,74,90,11.41
287,Alexandria,EG,2020-09-29 23:01:37,31.22,29.96,82.4,65,0,8.05
288,Dehra Dun,IN,2020-09-29 23:01:37,30.32,78.03,69.6,56,0,4.5
289,Charters Towers,AU,2020-09-29 23:01:02,-20.1,146.27,72.39,57,9,15.88
290,Arlit,NE,2020-09-29 23:01:37,18.74,7.39,94.64,10,0,5.86
291,Saldanha,ZA,2020-09-29 22:56:19,-33.01,17.94,50.0,81,0,5.82
292,Paris,FR,2020-09-29 22:50:28,48.85,2.35,62.01,87,90,3.36
293,Hervey Bay,AU,2020-09-29 22:53:37,-25.3,152.85,75.0,59,1,3.0
294,Peniche,PT,2020-09-29 22:53:43,39.36,-9.38,62.01,89,100,4.0
295,Datong,CN,2020-09-29 23:01:38,40.09,113.29,49.39,64,20,3.91
